,gdp_real
2000-01,243573.1
2000-04,247325.9
2000-07,254117.2
2000-10,253273.0
2001-01,255820.8
2001-04,259678.3
2001-07,262985.6
2001-10,266982.9
2002-01,274419.9
2002-04,279643.7
2002-07,284837.5
2002-10,287527.5
2003-01,285982.5
2003-04,286171.6
2003-07,290747.7
2003-10,298161.4
2004-01,302404.3
2004-04,304926.1
2004-07,305706.2
2004-10,308211.9
2005-01,311097.1
2005-04,316930.1
2005-07,321379.3
2005-10,325066.9
2006-01,330234.4
2006-04,332617.8
2006-07,337830.8
2006-10,340636.5
2007-01,346675.0
2007-04,352543.6
2007-07,356718.2
2007-10,363742.3
2008-01,366484.8
2008-04,367818.8
2008-07,370260.1
2008-10,357768.2
2009-01,358711.7
2009-04,363561.0
2009-07,374652.0
2009-10,377396.3
2010-01,386238.5
2010-04,392479.0
2010-07,396469.6
2010-10,402066.0
2011-01,405904.8
2011-04,407666.7
2011-07,409552.3
2011-10,412298.9
2012-01,416240.7
2012-04,417998.0
2012-07,419861.6
2012-10,422987.5
2013-01,426342.4
2013-04,431160.1
2013-07,435484.7
2013-10,439300.3
2014-01,442669.9
2014-04,446872.4
2014-07,448023.5
2014-10,450409.2
2015-01,454302.8
2015-04,456256.6
2015-07,463025.5
2015-10,466604.0
2016-01,468400.3
2016-04,474271.5
2016-07,476105.6
2016-10,479773.7
2017-01,485188.1
2017-04,488752.2
2017-07,495472.5
2017-10,494319.3
2018-01,501586.1
2018-04,505496.7
2018-07,508089.3
2018-10,510930.2
2019-01,511364.0
2019-04,518107.4
2019-07,519165.9
2019-10,524345.1
2020-01,517612.0
2020-04,503461.2
2020-07,514615.0
2020-10,522778.3
2021-01,530731.1
2021-04,538119.9
2021-07,538107.6
2021-10,546464.3
2022-01,548545.8
2022-04,553397.8
2022-07,556130.3
2022-10,554084.9
2023-01,556056.4
2023-04,559865.6
2023-07,564243.5
2023-10,567012.3
2024-01,573667.3
2024-04,572357.1
2024-07,572866.1
2024-10,573311.8
2025-01,572057.7
2025-04,575918.3
2025-07,583601.0
2025-10,582662.5
