,종가
2014-12-31,2.13
2015-01-31,2.12
2015-02-28,2.1
2015-03-31,1.85
2015-04-30,1.8
2015-05-31,1.8
2015-06-30,1.65
2015-07-31,1.64
2015-08-31,1.63
2015-09-30,1.59
2015-10-31,1.57
2015-11-30,1.66
2015-12-31,1.67
2016-01-31,1.65
2016-02-29,1.63
2016-03-31,1.61
2016-04-30,1.61
2016-05-31,1.56
2016-06-30,1.37
2016-07-31,1.36
2016-08-31,1.34
2016-09-30,1.34
2016-10-31,1.39
2016-11-30,1.52
2016-12-31,1.52
2017-01-31,1.49
2017-02-28,1.49
2017-03-31,1.45
2017-04-30,1.41
2017-05-31,1.38
2017-06-30,1.38
2017-07-31,1.39
2017-08-31,1.38
2017-09-30,1.38
2017-10-31,1.4
2017-11-30,1.64
2017-12-31,1.66
2018-01-31,1.65
2018-02-28,1.65
2018-03-31,1.65
2018-04-30,1.65
2018-05-31,1.65
2018-06-30,1.65
2018-07-31,1.65
2018-08-31,1.65
2018-09-30,1.65
2018-10-31,1.7
2018-11-30,1.9
2018-12-31,1.93
2019-01-31,1.86
2019-02-28,1.89
2019-03-31,1.9
2019-04-30,1.84
2019-05-31,1.84
2019-06-30,1.78
2019-07-31,1.5
2019-08-31,1.49
2019-09-30,1.55
2019-10-31,1.44
2019-11-30,1.53
2019-12-31,1.53
2020-01-31,1.42
2020-02-29,1.41
2020-03-31,1.1
2020-04-30,1.1
2020-05-31,0.81
2020-06-30,0.79
2020-07-31,0.78
2020-08-31,0.63
2020-09-30,0.63
2020-10-31,0.63
2020-11-30,0.66
2020-12-31,0.66
2021-01-31,0.7
2021-02-28,0.74
2021-03-31,0.75
2021-04-30,0.73
2021-05-31,0.66
2021-06-30,0.68
2021-07-31,0.7
2021-08-31,0.92
2021-09-30,1.04
2021-10-31,1.12
2021-11-30,1.26
2021-12-31,1.29
2022-01-31,1.5
2022-02-28,1.5
2022-03-31,1.51
2022-04-30,1.72
2022-05-31,1.96
2022-06-30,2.04
2022-07-31,2.73
2022-08-31,2.92
2022-09-30,3.24
2022-10-31,3.96
2022-11-30,4.03
2022-12-31,3.98
2023-01-31,3.63
2023-02-28,3.59
2023-03-31,3.59
2023-04-30,3.52
2023-05-31,3.76
2023-06-30,3.75
2023-07-31,3.74
2023-08-31,3.69
2023-09-30,3.83
2023-10-31,3.82
2023-11-30,3.84
2023-12-31,3.83
2024-01-31,3.68
2024-02-29,3.69
2024-03-31,3.64
2024-04-30,3.57
2024-05-31,3.61
2024-06-30,3.6
2024-07-31,3.5
2024-08-31,3.52
2024-09-30,3.53
2024-10-31,3.43
2024-11-30,3.29
2024-12-31,3.39
2025-01-31,3.03
2025-02-28,2.89
2025-03-31,2.84
2025-04-30,2.71
2025-05-31,2.59
2025-06-30,2.56
2025-07-31,2.51
2025-08-31,2.53
2025-09-30,2.57
2025-10-31,2.55
2025-11-30,2.8
2025-12-31,2.81
2026-01-31,2.73
2026-02-28,2.81
2026-03-31,2.82
2026-04-30,2.82
